n,p,k
200,0.01,2
200,0.02,3
200,0.03,4
200,0.038,5
200,0.043,6
200,0.052,7
200,0.06,8
200,0.066,9
200,0.073,10
200,0.08,11
200,0.085,12
200,0.093,13
200,0.1,14
200,0.108,15
200,0.115,16
200,0.118,17
200,0.125,18
200,0.13,19
200,0.14,20
300,0.01,2
300,0.015,3
300,0.02,4
300,0.025,5
300,0.03,6
300,0.035,7
300,0.04,8
300,0.044,9
300,0.05,10
300,0.054,11
300,0.059,12
300,0.064,13
300,0.067,14
300,0.072,15
300,0.075,16
300,0.08,17
300,0.084,18
300,0.089,19
300,0.092,20
400,0.007,2
400,0.01,3
400,0.015,4
400,0.02,5
400,0.022,6
400,0.026,7
400,0.03,8
400,0.034,9
400,0.037,10
400,0.039,11
400,0.043,12
400,0.047,13
400,0.05,14
400,0.053,15
400,0.056,16
400,0.059,17
400,0.063,18
400,0.067,19
400,0.069,20
600,0.005,2
600,0.008,3
600,0.01,4
600,0.012,5
600,0.015,6
600,0.017,7
600,0.02,8
600,0.022,9
600,0.025,10
600,0.027,11
600,0.029,12 
600,0.031,13
600,0.033,14
600,0.035,15
600,0.038,16
600,0.04,17
600,0.042,18
600,0.044,19
600,0.046,20
800,0.003,2
800,0.005,3
800,0.007,4
800,0.009,5
800,0.011,6
800,0.013,7
800,0.015,8
800,0.017,9
800,0.019,10
800,0.0205,11
800,0.022,12
800,0.024,13
800,0.025,14
800,0.027,15
800,0.029,16
800,0.030,17
800,0.032,18
800,0.033,19
800,0.035,20
1000,0.003,2
1000,0.004,3
1000,0.006,4
1000,0.008,5
1000,0.009,6
1000,0.011,7
1000,0.012,8
1000,0.013,9
1000,0.015,10
1000,0.016,11
1000,0.0175,12
1000,0.019,13
1000,0.02,14
1000,0.021,15
1000,0.023,16
1000,0.024,17
1000,0.0255,18
1000,0.027,19
1000,0.028,20
